"DrugBankIDs" "Target.uniprot"
"DB01114" "P35367; P08684; P10635; P31645; P23975; Q01959; P20815; P24462; O15244; O15245"
"DB01115" "P54289; P08684; P05181; P10635; P0DP23; Q01668; Q13698; Q13936; Q08289; Q09470; O95180; P05177; P11509; P10632; P20815; P24462; O15438; P08183; Q92887; P04798; P20813; O75469; Q9Y6L6; O95342"
"DB01116" "Q9GZZ6; P06276"
"DB01117" "Q02127; Q08210; Q02768; P11712; P08684; P08183"
"DB01118" "P08588; Q12809; P10632; P11712; P10635; O95180; Q9NY47; P08684; P05177; P20815; P24462; P04798; P08183; P33261; P11509; P10827; P10828; P37231; O95342; O15244"
"DB01119" "P55017; P00915; P00918; Q12791; P05023; Q14654; P15104"
"DB01120" "Q09428; P02768; P15692; P11712; P33261"
"DB01121" "P35498"
"DB01124" "P48048; P33261; P11712; P10632; Q09428; P46059; P46721; Q16348; Q4U2R8; O94956; P33260; P02768"
"DB01125" "P38435"
"DB01126" "P18405; P31213; P08684; ; P02768; P02763; P20815"
"DB01128" "P10275; P08684; P33261; P11712; P10635"
"DB01129" "P20648; P08684; P33261; Q9UNQ0; P04798; P05177; P11712; P10635; P10632"
"DB01130" "P04150; P08684"
"DB01131" "P13922; P00374; P33261; P10635; P11712; P05181; P08684"
"DB01132" "P37231; P10632; P08684; Q9NPD5; Q9Y6L6; P23219; P11712; Q03181; Q07869; P27338"
"DB01136" "P35348; P08588; O95298; P07550; P15692; P16860; P17302; Q12809; P19320; P11712; P10635; P47989; P08183; P05177; P08684; P04798; P05181; P23219; P25100; P35368; P18825; P18089; P08913; P16581; Q16665; P48050; P22309"
"DB01137" "P43700; P43702; P11388; P05177; O15244; P08183; Q9H015; Q4U2R8; P08684; Q96FL8; Q86VL8"
"DB01138" "P33527; Q92887; P12104; P11712; O15438; O15439; O15440; O95255; P08684; P20813; P10632; Q96S37; O75469; O95342"
"DB01139" "Q8XJ01"
"DB01140" "O76082; P46059; Q16348; Q4U2R8; Q8TCC7; Q75Y35; Q8DR59; Q7CRA4; P0A3M6"
"DB01141" "P15289; P21964; A2QLK4"
"DB01142" "P31645; P23975; P35367; P25021; P10635; P11229; P08172; P20309; P08173; P08912; P35348; P08908; P28223; P33261; P11712; P05177; P08183; P41595; P28335; P35368; P25100; P08684; P50406; Q9H3N8; Q12809; P02768; P02763"
"DB01143" "P22413; P10696; P05186"
"DB01147" "Q8XJ01; P00811; P02768; P46059; Q16348; Q4U2R8; Q8DNB6; P0A3M5; Q51504; P0AEB3"
"DB01148" "P11229; P08172"
"DB01149" "P28223; P31645; P23975; P35348; P35368; P08684; P10635; Q01959; P08913; P08908; Q14097; P20815; P08183; P28335; Q12809; P08684; Q9HB55; P20815; P24462; Q9NPD5; O94956; O95342"
"DB01151" "P11229; P23975; P07550; P08172; P31645; P35367; P08588; P10635; P20309; P08173; P08912; P35348; P35368; P25100; P28223; P02763; P20813; P08684; O15244; O15245; O75751; O76082; P08183; Q9H015; P05177; P11509; P33260; P33261; P05181; P17405; P08908; P28335; P14416; P08913; P18089; P18825"
"DB01154" "P14867; Q15842; Q14654; P11712; P08684; P05181"
"DB01156" "Q01959; P23975; P20813; P10635; P02763; P32297; P11509; P11712; P05181; P08684; O15244; P46098"
"DB01158" "P05023"
"DB01159" "P14867; P23415; Q12791; P98194; P03886; O15554; P30049; P08100; P48051; P48549; P59768; Q6W5P4; P05181; P11509; P08684; Q8TCU5; O60391; Q12879; O14649; Q9NPC2; P02768; P20813; P11712; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB01161" "Q9Y5Y9; Q9GZZ6; Q01959; Q8TCU5; P46098; P06276"
"DB01162" "P35348; P35368; P25100; Q12809; Q9H252; Q9NS40; P08183; P01137"
"DB01164" "Q99584"
"DB01165" "P43700; P43702; P11388; P05177; O76082; P33527; Q4U2R8; Q92887; Q9H015; O95342"
"DB01166" "Q14432; P33261; P08684; P20815; P24462; P05177; P10635"
"DB01167" "P50859; Q16850; P08684; P10635; P20815; P24462; P20813; P08183; P04798; P05181; O94956"
"DB01168" "; P47989; Q16678; P21397; P27338"
"DB01169" "O14920; P05412; P24385; P27361; P28482; P31749; P04798; Q92887; Q16881; P08183; Q16678; P08684; P38936; Q13547; P29590; P02768"
"DB01170" "P23975; P08684"
"DB01171" "P21397; P33261; P10635; P27338; P11712; P21397; P27338"
"DB01172" "P0A7S3; ; P9WQG9; P05057; P00551"
"DB01173" "Q05586; O15399; O60391; Q8TCU5; P35367; P20813; P05181; P08684; P23975; Q9Y5Y9; P05177"
"DB01174" "P14867; P33261; P11712; P20813; P10632; P05177; P08684; O15438; O95342; P08183; P33527; Q92959; Q92887; P43681; P36544; P42262; Q13002; P11509; P05181; P20815; Q02928; P04798; Q16678; P33260; P24462; P13584; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391; O75469; P22309; P16662"
"DB01175" "P31645; P08684; P10635; Q01959; P23975; P35348; P11229; P35367; P33261"
"DB01176" "P35367; P49888; P11712"
"DB01177" "P11388; ; P33527; P11712; P10635"
"DB01178" "P30536"
"DB01179" "P11388; P68366; P07437"
"DB01181" "P20813; ; P08684; P20815; P11712; P10632; P11509; P33261; P33260; P23219; O75469"
"DB01182" "Q14524; Q12809; P05177; P10635; P10632; P08684; P08183; P08588; P07550"
"DB01183" "P35372; P03372; P16220; P41143; P46721; P08183; P41145; P10632; P08684; P02768; O00206; P23141; P22309"
"DB01184" "P14416; P08684; P20815; P24462; P08183; P05177; P20813; P10632; P10635; P35462"
"DB01185" "P04278; P03372; P10275; P16471; P04150; P80365"
"DB01186" "P14416; P21728; P35462; P08908; P35348; P08913; P18089; P18825; P35368; P25100; P21917; P21918; P28222; P28221; P28223; P41595; P28335; P10635; P08684"
"DB01188" "P05023"
"DB01189" "P98194; P03886; P23415; P42261; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; Q09470; P30049; P02768"
"DB01190" "P0A7J6; P08684;"
"DB01191" "P31645; P28335; P10635; P05177; P05181"
"DB01192" "P35372; P10635; P41143; P08684"
"DB01193" "P08588; P10635; P07550; P08183"
"DB01194" "P00915; P00918; P08684; P35218; P22748; P07451"
"DB01195" "Q14524; P10635; P35499; P11712; Q12809"
"DB01196" "Q92731; P03372; P11137; P78559; P08183; P08684"
"DB01198" "P30536; P10632; P11712; P08684; P23219; P14867; P47869; P34903; P31644; P05181"
"DB01199" "Q15822; P22303; P46098; O15245; O15244; P36544; P06276"
"DB01200" "P14416; P08684; P28221; P08913; P35462; P08908; P18825; P18089; P41595; P21917; P28223; P28222; P28335; P21918; P21728; P35348; P35368; P25100; P34969; P08183"
"DB01202" "Q7L0J3; P08183; Q92887; Q00975; P08684"
"DB01203" "P08588; P07550; P08183; P10635"
"DB01204" "P11388; P05181; P08183; P33527; Q9UNQ0; ; Q16678; P08684"
"DB01205" "P14867; P18507; P31644; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB01206" "; P08684; P10635; Q9H169"
"DB01208" "P43700; P43702; P11388; O76082; Q92887; P08183; P05177"
"DB01210" "P08588; P07550; P10635"
"DB01211" "P0A7J6; P08684; P33261; P20815; P24462; P08183; Q9Y694; Q12809; Q9Y6L6; Q9NPD5; O95342"
"DB01212" "P02768; P46059; Q16348; Q4U2R8; Q8TCC7; Q9NSA0; P0A3M6; P15104"
"DB01213" "P07327; P00325; P00326; P04040; P05181; P11509"
"DB01214" "P08588; P07550; P10635"
"DB01215" "P08684; P14867; P47869; P34903; P31644; Q8N1C3; P18507; Q99928; P18505; P47870; P28472; O14764; P78334; O00591; P24046; P28476; A8MPY1; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB01216" "P18405; P08684; P31213; P51857; P20815; P24462;"
"DB01217" "P11511; P05177; P11712; P08684"
"DB01218" "; Q12809; P08684; P10635; P46925; P10632; P20815"
"DB01219" "P21817; P08684; P05543"
"DB01220" "P0A8V2; O75469; P08684; P33261; P10632; P10635"
"DB01221" "Q8TCU5; P25103; P20813; P11712; P08684; P14416; P23219; P10632; P41143; P23975; P41145; P35372; P11229; P08172; P20309; P08173; P08912; P28223; P41595; P28335; P08908; P28222; P28221; P28566; P30939; P46098; Q693P7; P06276; P29475"
"DB01222" "P04150; P08684; P20815; O95342"
"DB01223" "Q14432; P0DMS8; P30542; P05177; P05181; P08684; Q92769; P33261"
"DB01224" "P28223; P28335; P14416; P08908; P35367; P08684; P35348; P35368; P25100; P08913; P18089; P18825; P28221; P11229; P08172; P20309; P08173; P08912; P28222; P28566; P46098; P50406; P34969; P21918; P21728; P35462; P21917; P20815; P24462; P08183; P33261; P10635"
"DB01226" "Q15822; P08172; P20309; P06276"
"DB01228" "Q14524; P10635"
"DB01229" "P10415; Q9H4B7; P10632; P08684; P20815; P24462; O95342; P08183; P33527; Q5T3U5; P11511; Q16678; Q9NPD5; O75469; P27816; P11137; P10636; Q9UNQ0; Q92887"
"DB01232" "Q72874; P08684; P20815; P02763; P02768; P24462; P08183; O15245; P46721; Q9UNQ0; Q9Y6L6; P33527; Q92887; P05108; P10632; P10635; O94956; O95342"
"DB01233" "P11229; P14416; P10635; Q13639; P15538; P19099; P05093; P46098; P22303"
"DB01234" "P04150; P04083; P35228; P51843; P08684; P20815; P24462; O95342; P08183; Q92887; P46721; Q9UNQ0; P05108; P05093; P11511; P04798; Q16678; P11509; P20813; P33261; P10632; P10635; P05181; Q9HB55; Q02928; O75469"
"DB01235" "P21728; P14416; P20711; P46059; Q8TF71; P35462; P21917; P21918; Q01650; Q9UHI5; P02768"
"DB01236" "P98194; P03886; P23415; P42261; P14867; Q09470; P30049; P05181; P02768; P11509; P20813; P08684; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB01238" "P14416; P08908; P28223; P08684; P10635; P28222; P28221; P28566; P21728; P21918; P35462; P21917; P28335; P46098; P50406; P34969; P35367; P35348; P35368; P08913; P18089; P18825; P11229; P08172; P20309; P08173; P08912; P20815; P24462; P02768"
"DB01239" "P21728; P14416; P35462; P28223; P41595; P28335; P35367; P11229; P08172; P20309; P08173; P08912; P08183"
"DB01240" "Q9H244; P43119; Q16647"
"DB01241" "Q07869; P11712; P10632; P05177; P33261; Q9Y6L6; P22309; P08684; P35503"
"DB01242" "P31645; P23975; P09211; P28223; P05177; P10635; P33261; P08183; P08684; P41595; P28335; P02768"
"DB01244" "O00555; P05023; P51787; P63316; P0DP23; O95180; Q9NY47; Q01064; P54750; P08183; P10635; Q12809; P08684"
"DB01245" "Q15822; P22303; P06276; P43681; P17787"
"DB01247" "P21397; P27338"
"DB01248" "P10415; Q9H4B7; P08684; P20815; P24462; P08183; Q5T3U5; Q16678; P11137; P27816; P10636; Q9NPD5; Q9Y694; Q9UNQ0; Q92887; P33527; O75469"
"DB01250" "P01579; P51580"
"DB01253" "P08684; P08183; P35348"
"DB01254" "P00519; P42684; P12931; P06241; P06239; P07947; P10721; P09619; P29317; P51692; P08684; P08183; Q9UNQ0; P04798; P05177; Q16678; P20815; P31513; Q06187; Q92570; P11274; P41240; P54756; P54760; P09769; P42685; P11142; P07948; Q9NYL2; Q16539; Q06203"
"DB01255" "P10635; P46059; Q96RJ0"
"DB01259" "P00533; P04626; P08684; P10632; P08183; Q03518; P20815; P33261"
"DB01260" "P04150; P08684"
"DB01261" "P27487; P08684; P10632; P08183; Q8TCC7"
"DB01262" "; P26358; P27707"
"DB01263" "P08684; P08183; P10613"
"DB01265" "Q05486;"
"DB01267" "P14416; P28223; P35367; P35348; P35368; P35462; P21917; P21728; P08913; P18089; P18825; P08908; P28221; P28335; P34969; P08684; P10635; P20815; P08183"
"DB01268" "P09619; P17948; P35968; P35916; P10721; P36888; P07333; P16234; P08684; P20815; P24462; O15439; P08183; Q92887; Q9UNQ0"
"DB01273" "P43681; P36544; P32297; Q15825; P17787; O15244"
"DB01274" "P07550; P10635; P33261; P11509; P11712"
"DB01275" "Q16853; P13674; P08684"
"DB01276" "P43220; P02768; P27487"
"DB01280" "; P00813; P27707; Q16854; P09884"
"DB01283" "P35354; P23219; P11712; P33261; O60656; P05177"
"DB01284" "Q01718"
"DB01285" "Q01718; P06850; P26439; O15528; Q07973; P08684"
"DB01288" "P07550; P08588; P13945"
"DB01291" "P07550; P08588"
"DB01296" "P01375; P01579; P14780; P33673; P33261; P05181; Q00653"
"DB01297" "P08588; P10635"
"DB01299" "Q27738; P13922"
"DB01306" "P06213; P08069"
"DB01319" "Q72874; P08684"
"DB01320" "Q14524; P33261; P20813; P11712; P08684; P02768; P05177; P19224; O60656; P10635; P05543"
"DB01324" "P55017"
"DB01326" "Q4U2R8; Q8TCC7; Q9NSA0; Q9Y694; Q70KI2"
"DB01327" "P27169; P02768; Q4U2R8; Q8TCC7; Q9NSA0; P02918; P02919; P0AD65; P76577; P0AD68; O15439; P51580; P40933; P60568"
"DB01329" "P02768; Q4U2R8; Q8TCC7; Q9NSA0; Q9Y694; P0AD68; P02919; P0AD65; P02918; P08506; P0AEB2; P24228; Q07806; Q9X6W0"
"DB01331" "P02918; P02919; P0AD68; P0AEB2; P24228; P08506; P0AFI5; P00808; Q75Y35; Q7CRA4; Q8DNB6; Q8DR59; P0A3M6"
"DB01333" "O76082; P46059; Q16348; Q4U2R8; P02918; P08684; Q96FL8"
"DB01336" "Q15822; P08172"
"DB01337" "Q15822; P06276; P08172; P20309; O15245; O15244"
"DB01339" "P08183; Q15822"
"DB01340" "P12821; P08183; P46059; Q16348"
"DB01348" "P12821; P46059; Q16348"
"DB01351" "P14867; P48169; Q16445; P43681; P36544; P42262; P47869; P34903; P31644; Q13002; P11509"
"DB01357" "P03372; P11712; P08684; P10632"
"DB01359" "P02763; P08588; P07550; P08908; P28222; P10635"
"DB01364" "P22303; P35348; P23975; Q05940; P06276"
"DB01365" "P35348; P35368; P25100; P08913; P18089; P18825; P08588; P07550; P13945"
"DB01366" "P07550"
"DB01367" "P10415; P27338; P05177"
"DB01373" "P04271; P20810; P49747; P0DP23; Q01082; Q13936; P02585; P63316; P98194; P19801; Q99584; P05187; P05109; P06702; P29034; P00450; P12644; P08493; Q8TAB3; O75340"
"DB01380" "P04150; P08684"
"DB01390" "Q9Y6R1; Q9Y6M7; Q2Y0W8; Q9BY07; ; Q6U841"
"DB01392" "P08913; P18089; P18825; P08908; P28222; P28221; P14416; P35462; P28223; P28335; P10635; P08684; P48048; P78508; Q14654; Q14500; Q9UNX9; Q99712; Q15842; P41595"
"DB01393" "Q07869; Q9Y6L6; Q03181; P37231; P04798; P10632; P08684; O75469; P19793; P28702; P48443"
"DB01394" "Q9H4B7; P07437; P08684; P21439; O75751; P08183; P33527; P20813; P10632; P05181"
"DB01396" "P05023; P02768; P05108; P08684; P46721; Q6ZQN7; P08183"
"DB01399" "P23219; P35354"
"DB01400" "P22303; P06276"
"DB01403" "P35462; P35367; P11229; P08172; P20309; P08173; P08912; P35348; P35368; P25100; P10635; P14416; P21728; P21918; P21917; P08913; P18089; P18825; P28223; P28335; P05181"
"DB01406" "P03372; P30968; Q96P88; P04278; P13500; P11511; P10275; P06401; P08684"
"DB01407" "P07550; P01138; P01375; P08588; P13945; P04798"
"DB01409" "P20309; P10635; P08684; P11229; P08172; O76082; Q9H015; P08173; P08912"
"DB01413" "O76082; P46059; Q16348; P0AD65; P0AD68; Q51504; Q9X6V3"
"DB01415" "P46059; Q16348; P0AD68; P02918; P02919; P0AD65; Q4U2R8; Q8TCC7"
"DB01416" "P0AD68"
"DB01418" "Q9BQB6; P11712; P05177; P02768; P02763; P33261; P08684"
"DB01419" "P23219; P35354"
"DB01420" "P10275; P21964; P22309; P18405; P31213; Q9H8P0; P08684; P08183; P04278; P02768"
"DB01421" "; Q5SHN7"
"DB01426" "P02763; Q14524"
"DB01427" "Q07343; P01375; Q14432;"
"DB01430" "P05023"
"DB01435" "P10632; P11712; P05177; P33261; P08684; Q4U2R8; P11509; P20813; P33260; P10635; P05181; P35354; P23219"
"DB01436" "P02774; P11473; O15528; P19793"
"DB01437" "P05108; P10635; P14867; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB01438" "P35498"
"DB01440" "O60669; P53985; O15427; Q9HAB3; P18505"
"DB01452" "P35372; P41145; P41143; P23141; P05543"
"DB01544" "P47869; P48169; P31644; Q16445; P34903; P30536; P33261; P16662; P11509; P20813; P11712; P08684; P05181; P22309; P35503; P14867; P28472; P18507"
"DB01558" "P47869; P08684; P14867; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; Q8N1C3; P18507; Q99928; O14764; P78334; O00591; P24046; P28476; Q9UN88; A8MPY1; P05177; P33261; P05181"
"DB01559" "P14867; P47869; P34903; P31644; Q8N1C3; P18507; Q99928; P18505; P47870; P28472; O14764; P78334; O00591; P24046; P28476; A8MPY1; P20813; P33260; P33261; P08684"
"DB01576" "P35348; P35368; Q01959; P23975; Q05940; Q96RJ0; P10635; P46883"
"DB01577" "P10635; O75751; O76082; Q01959; Q05940; Q96RJ0; P31645; P23975; P54219; P21397; P27338; P08913; P18089; P18825"
"DB01579" "P35348; P35368; P23975"
"DB01580" "P08588; P07550; O15244; P10635; P13945"
"DB01586" "P52895; O95342; P46721; Q92887; O15439; Q12908; Q14973; P05181; Q96RI1"
"DB01589" "P14867; P47869; P34903; P31644; Q8N1C3; P18507; Q99928; P18505; P28472; O14764; P78334; O00591; P24046; P28476; A8MPY1; P33261; P11712; P08684; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P20813"
"DB01590" "P42345; P08684; Q9Y6L6; Q9NPD5; P46721"
"DB01591" "P20309; P11229; P08684; P08172; P08173; P08912"
"DB01592" "P02786; Q9GZT9; Q9BY41; Q9NZD4; P69905; Q16595; P02794; P39748; Q96FI4; Q969S2; P06746; P00450; P02787"
"DB01593" "P46663; P16455; P04075; P68104; P06733; O14556; P15531; P07237; P30101; Q06830; P78330; P60174; P49411; P03372; P08700; P02795; O14618; Q13547; P56524; P29372; P04279; P00441; Q9BY41; O15304; P23415; Q00987; P01308; P46939; P45381; P05109; P06702; P14780; O15350; P29034; P04637; P25713; O75340; Q8N907; P04731; P04217; P01023; P01019; P02765; P02743; P02647; P02652; P06727; Q0VD83; P02649; O14791; P02746; P02747; P00736; P09871; P01024; P0C0L5; P04003; P20851; P01031; P46736; P07357; P07358; P07360; P00751; P08603; P05156; P10909; P00450; P15169; P22792; P81605; P15924; P00748; P05160; P00734; O75636; P02671; P02751; P06396; P69905; P68871; P00739; Q86YZ3; P35858; P01876; P01871; P01599; P01619; P80748; P19827; P19823; Q06033; Q14624; P01591; P14923; P03952; P01042; P04264; P13645; P02533; P08779; P35908; P13647; P02538; P35527; P19652; Q96PD5; P27169; P20742; P31151; P49908; P01009; P01011; P29622; P08185; P05546; P04278; P02787; P02766; P04004; P51693; Q06481; P05067; P09874; P00915; P16870; P00326; P14735"
"DB01595" "P14867; P35498; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; Q8N1C3; P18507; Q99928; O14764; P78334; O00591; P24046; P28476; A8MPY1; Q9UN88; P08684; P05181"
"DB01597" "P16444; Q4U2R8; Q8TCC7"
"DB01598" "P00807; P02918; P02919; P0AD65; P42971"
"DB01599" "O95477; P23141"
"DB01601" "Q72874; P08684; P10635; P33261; P08183; P20813; P11712; P10632; P08684; Q9HB55; P20815; P24462; Q9Y6L6; Q9NPD5; O95342"
"DB01602" "Q8XJ01"
"DB01603" "Q53707; Q8DNB6; Q7CRA4; P0A3M6; Q75Y35; Q8DR59"
"DB01605" "Q8XJ01"
"DB01606" "P0AD63; P62594; Q4U2R8; Q8TCC7"
"DB01607" "C1KC03"
"DB01608" "P35368; P08913; P21728; P10275"
"DB01609" "; P08684; P22309; P35503; O60656; P10632; P05177"
"DB01611" "; Q9NYK1; Q9NR96; P10635; P08183"
"DB01616" "P08908"
"DB01618" "P14416; P08908; P28223; P11229"
"DB01620" "P35367; Q14994"
"DB01623" "P05177; P10635; P14416; P21728; P28223; O15245; P02768"
"DB01624" "P21728; P21918; P14416; P10635; P35348; P08913; P28223; P35367; P08684"
"DB01626" "P27338; P21397"
"DB01627" "P0A7J6"
"DB01628" "P35354; P08684; P11712; P10635; P05177; P33261; P05181"
"DB01638" "P24300; P12851; P12070; P37330"
"DB01656" "Q08499; P27815; Q07343; Q08493; P08684"
"DB01698" "P42330; P10632; P08684; P16152"
"DB01708" "P07445; Q06520; P22637; P14061; O00204; P08684; P24462; Q07869; P03372; Q99720; Q92731; O75469; Q14994; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391; P10275"
"DB01718" "Q79FX6; P9WPB7"
"DB01744" "P00183; Q8NER1; Q8NET8; O75762; Q7Z2W7"
"DB01783" "P0A6I3"
"DB01839" "P00488; P51698; Q05581; P0A9S1; Q8GEZ8"
"DB01956" "P37610; P54965; P23415; Q7Z2H8; P31641; P46059; O95932; Q14032; Q13224; P23416; O75311; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; Q9UBS5"
"DB02266" "P42330; P02766; P35354; P23219; Q4U2R8; P10275; Q07869; P37231"
"DB02300" "P11473; P05164; Q07973"
"DB02325" "P30793; P00782; P07998; P07478; Q46509; P17900; P43133; Q13231; P23526; Q13838; P23367; Q04095; P03706; P0AES2; O60942; P41407; O67757; Q9BV57; P43026; P06312; Q9X592; P05893; P14555; P71143; Q8YWS4; Q7Z4W1; P30041; Q9WZD5; P01375; P13686"
"DB02530" "P50440; Q7Z2H8; Q9UBS5; O75899"
"DB02546" "Q13547; Q92769; O15379; Q9UBN7; Q9BY41; O67135"
"DB02638" "P37288; P30518; P47901"
"DB02659" "P22830; O95342; P08183; P33527; P46721; Q12908; Q92887; Q9Y6L6; O15438; O15439; Q14973; Q8TCC7; Q9Y694; Q9NPD5; P00326; P62508; P51161; P13073; P00395; P00403; P00414; P20674; P10606; P09669; P24311; P15954; P10176; Q02221; P14854; P24310; P04054; P23141; P07148; Q7KZA3; P54965; Q96RI1; Q8TDU6"
"DB02701" "Q9NXA8; Q10588; P11439; P00338; P09874; P10635; P05181; P08684"
"DB02703" "P00484; P62580; O95342; Q92887; P13551; P10635; P08684; P22309; Q9UNQ0; Q9Y6L6"
"DB02709" "P02766; P16083; P23219; P68400; P35354; P04798; P08684; P05177; Q16678; P16050; P09917; P35869; Q8TCG2; P08648; P05106; P02768; P05067; P37840; P03372; P48039; P49286; Q86T13; O75469; Q14994; P11166; P16152; Q07869; P37231; P31749; Q92945; P54577"
"DB02772" "P00811; P0A094; P61626; Q02169; P11759; P68133; Q59976; Q9ZEU2; Q9L5C8; ; P71119; O00244; Q9Y3I0; P83689; P22340; P05655; Q8TE23"
"DB02925" "Q13621"
"DB03088" "P19961; P03950; Q46079; P04745; P15692; P04746; P0CG04; P01709; Q03403; P00091; Q9UKQ2; Q7SIE2; O68601; Q701N4; O43612; P80075; P00138"
"DB03128" "P22303; O76082; O15245; P11229; P08172; P20309; P08173; P36544"
"DB03147" "P20586; P29475; P15559; P00438; P83223; Q86YB8; P00390; P9WIQ3; P00387; P12676; Q9WYT0; P37063; P06715; P40859; P28593; P16083; P26440; P47989; P22637; Q12882; P06149; Q16881; Q9UKU7; O95831; P37747; P39662; O31616; P16435; Q92947; P11310; P14920; P09546; P61497; P21397; P16219; Q96RQ9; P42593; Q56839; P0C278; P0A9P4; P0AEZ1; Q9AGP8; P37062; P21890; P38038; Q44532; Q06319; Q52437; P18925; Q888A4; P00914; P05327; P10902; P77967; P09622; Q9Z4P0; Q9UHQ9; Q7SID9; P27338; P22570; Q15067; P08373; P55789; P61432; P24232; Q9LAG2; Q9RA47; P16640; P9WHH7; P9WIQ1; P55792; P09788; P19480; Q51225; Q94655; Q47PU3; P07771; Q72JJ3; Q9KIE5; P09063; P14218; P35340; P58558; P28861; Q9RC23; Q16795"
"DB03255" "P43133; P00720; Q05603; P02768"
"DB03585" "Q9NZK7; P02768; Q4U2R8"
"DB03614" "P13009"
"DB03796" "P08100; P02768; O76054; P50897; P02689; P15090; Q01469; P09466; P05413; Q14541; P83812; P10632; O43617; Q9X1H9; P12104; P00709; Q07869"
"DB03843" "P15555"
"DB03904" "P05089; P00918; P09592; P35222; Q8XB74; P0ABQ4; Q15849; Q13336"
"DB04115" "P0A0N5; O15392"
"DB04173" "P49789; P02943"
"DB04224" "P05413; P07148; P02768; P02774; Q9NZD2; P29498; P02689; O15540; P15090; Q07869; Q03181; P19793; P37231"
"DB04398" "P09546; Q9RW27; O60669; O94956; P53985; Q8TF71; Q92959; O15427"
"DB04570" "P42971; P02918; P02919; P24228"
"DB04572" "P20813; P08684; ; P06276"
"DB04573" "P03372; P46721; P08183; Q92731; P04278"
"DB04703" "Q96GD4"
"DB04743" "P35354; Q9NZK7; P02788; P08684"
"DB04817" "P23219; P20813; P08684"
"DB04821" "P23975; Q01959; P02763; P27338; P21397; P05164; P31645; Q05940"
"DB04825" "P0DP23; Q9H1R3; P08684"
"DB04832" "P31645; P08183; P27338; P21397; P08684"
"DB04835" "P51681; P08684"
"DB04839" "P10275; P11511; P07288; P08684"
"DB04840" "P23975; P10635; P08183; P04798"
"DB04841" "P35367; O43497; O95180; Q9P0X4; P0DP23; P10635; P11712; P04798; P05177; P11509; P08684"
"DB04842" "P14416; P28223; Q06432; P08684"
"DB04844" "Q05940; P10635; P14416; P16152"
"DB04845" "Q13509; P08684"
"DB04846" "P08588; P07550; P13945; P08913; P18089; P18825; P10635"
"DB04854" "P47989"
"DB04855" "P35348; P08588; P35368; P25100; P08913; P18089; P18825; Q12809; Q13936; Q01668; O60840; Q13698; Q02641; Q08289; P54284; O00305; P10635; P08684; P08183; P35498; O95069; P02768"
"DB04861" "P08588; P10635; P07550; P08684"
"DB04864" "P22303"
"DB04865" "P20276; P39023"
"DB04868" "P00519; P10721; P10635; P10632; P11712; P08684; P08183; Q9UNQ0; P22309; P20813; Q9Y6L6"
"DB04871" "P28335; P05177; P11509; P20813; P33261; P10635; P08684; Q01740; P04798"
"DB04876" "P27487"
"DB04880" "Q14432"
"DB04896" "P31645; P23975; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391; P08684"
"DB04898" "P00734; P11712"
"DB04899" "P16066; P20594; P17342"
"DB04918" "Q7DHH4; P14677; P0AD68"
"DB04920" "O60840; Q13698; Q01668; Q13936; P11712; P10635; P05181; P33261; P08684; P06276"
"DB04932" "P30542; P29274; P29275"
"DB04938" "P03372; P08684; P11712; P33261; P20813; P10635"
"DB04948" "P08913; P35348; P08908; P34969; P28335; P28221; P10635; P05177; P33261; Q2M3G0; Q96FL8"
"DB04951" "P09958; P05177"
"DB04953" "O43526; O43525; P56696; Q9NR82; P22309; P35503; P22310; O60656; P11245"
"DB05099" "P02671"
"DB05109" "P08684; P11712; P10635; P05181; P33261; ; P23219"
"DB05246" "P33261; O43497"
"DB05260" "P02787; P31350; Q9S427; P01584; ; P02818; P21281; P02786; Q9UP52"
