"DrugBankIDs" "DiseaseID"
"DB00166" "MESH:D056486"
"DB00166" "MESH:D058065"
"DB00166" "MESH:D064420"
"DB00166" "MESH:D003072"
"DB00166" "MESH:D001749"
"DB00166" "MESH:D004487"
"DB00166" "MESH:D020520"
"DB00166" "MESH:D001927"
"DB00166" "MESH:D001930"
"DB00166" "MESH:D006973"
"DB00169" "MESH:D013971"
"DB00169" "MESH:D007249"
"DB00169" "MESH:D011230"
"DB00169" "MESH:D008103"
"DB00169" "MESH:D001327"
"DB00169" "MESH:D010146"
"DB00169" "MESH:D015663"
"DB00169" "MESH:D011471"
"DB00169" "MESH:D009436"
"DB00169" "MESH:D005234"
"DB00169" "MESH:D008325"
"DB00169" "MESH:D001523"
"DB00170" "MESH:D008545"
"DB00170" "MESH:D008114"
"DB00170" "MESH:D001749"
"DB00170" "MESH:D002277"
"DB00170" "MESH:D011471"
"DB00170" "MESH:D012128"
"DB00175" "MESH:D006973"
"DB00175" "MESH:D050171"
"DB00175" "MESH:D015228"
"DB00175" "MESH:D002561"
"DB00175" "MESH:D005355"
"DB00175" "MESH:D006949"
"DB00175" "MESH:D006937"
"DB00175" "MESH:D064420"
"DB00175" "MESH:D050197"
"DB00175" "MESH:D006938"
"DB00175" "MESH:D002318"
"DB00175" "MESH:D058186"
"DB00175" "MESH:D006332"
"DB00175" "MESH:D003920"
"DB00175" "MESH:D011507"
"DB00175" "MESH:D020521"
"DB00175" "MESH:D003327"
"DB00175" "MESH:D006331"
"DB00175" "MESH:D003324"
"DB00175" "MESH:D009203"
"DB00176" "MESH:D001008"
"DB00176" "MESH:D006930"
"DB00176" "MESH:D009765"
"DB00176" "MESH:D016584"
"DB00176" "MESH:D001714"
"DB00176" "MESH:D006212"
"DB00176" "MESH:D004487"
"DB00176" "MESH:D003866"
"DB00176" "MESH:D001321"
"DB00176" "MESH:D000544"
"DB00176" "MESH:D006948"
"DB00176" "MESH:D003865"
"DB00176" "MESH:D019964"
"DB00176" "MESH:D001523"
"DB00176" "MESH:D007319"
"DB00176" "MESH:D010146"
"DB00176" "MESH:D009771"
"DB00177" "MESH:D002318"
"DB00177" "MESH:D003928"
"DB00177" "MESH:D006333"
"DB00177" "MESH:D015428"
"DB00177" "MESH:D051437"
"DB00177" "MESH:D006332"
"DB00177" "MESH:D020018"
"DB00177" "MESH:D005921"
"DB00177" "MESH:D009203"
"DB00177" "MESH:D011658"
"DB00177" "MESH:D020257"
"DB00177" "MESH:D008569"
"DB00177" "MESH:D011507"
"DB00177" "MESH:D001281"
"DB00177" "MESH:D003921"
"DB00177" "MESH:D007674"
"DB00177" "MESH:D009336"
"DB00177" "MESH:D008106"
"DB00177" "MESH:D006974"
"DB00177" "MESH:D017379"
"DB00177" "MESH:D006977"
"DB00177" "MESH:D000419"
"DB00177" "MESH:D005355"
"DB00177" "MESH:D009202"
"DB00177" "MESH:D058426"
"DB00177" "MESH:D018487"
"DB00177" "MESH:D003324"
"DB00177" "MESH:D006973"
"DB00178" "MESH:D006977"
"DB00178" "MESH:D002311"
"DB00178" "MESH:D011507"
"DB00178" "MESH:D007676"
"DB00178" "MESH:D006333"
"DB00178" "MESH:D009202"
"DB00178" "MESH:D000419"
"DB00178" "MESH:D009336"
"DB00178" "MESH:D006943"
"DB00178" "MESH:D000787"
"DB00178" "MESH:D018487"
"DB00178" "MESH:D050197"
"DB00178" "MESH:D002312"
"DB00178" "MESH:D001145"
"DB00178" "MESH:D003920"
"DB00178" "MESH:D014652"
"DB00178" "MESH:D009203"
"DB00178" "MESH:D003921"
"DB00178" "MESH:D003928"
"DB00178" "MESH:D001161"
"DB00178" "MESH:D015428"
"DB00178" "MESH:D007511"
"DB00178" "MESH:D006973"
"DB00178" "MESH:D017379"
"DB00179" "MESH:D011507"
"DB00179" "MESH:D003110"
"DB00179" "MESH:D001943"
"DB00179" "MESH:D007674"
"DB00179" "MESH:D006930"
"DB00179" "MESH:D004487"
"DB00179" "MESH:D009374"
"DB00179" "MESH:D010146"
